ticker,pe_trailing,pe_forward,pb,ev_ebitda,ps,roe,roa,net_margin,operating_margin,gross_margin,debt_to_equity,current_ratio,quick_ratio,revenue_growth,earnings_growth,earnings_growth_q,market_cap,enterprise_value,book_value,dividend_yield,payout_ratio,beta_reported,sector,industry,last_earnings_date,snapshot_date
AMBER,147.83429,38.079056,5.98941,31.346,2.1532872,0.05583,0.035469998,0.014579999,0.06243,0.18370001,46.566,1.131,0.476,0.105,0.11,0.153,262409830400.0,298514317312.0,1242.276,,0.0,0.177,Consumer Cyclical,"Furnishings, Fixtures & Appliances",,2026-08-01
AMBUJACEM,24.212885,29.837889,1.8001208,19.148,2.6938236,,,0.11128,0.07947,0.5682,1.205,,,-0.077,-0.275,-0.268,1073937973248.0,1192881160192.0,240.095,0.46,0.1121,0.132,Basic Materials,Building Materials,2026-07-28,2026-08-01
ANANDRATHI,75.325096,61.6164,34.49555,52.768,24.572308,,,0.33193,0.48529997,0.57806,8.25,,,0.521,0.71,0.738,344319754240.0,340743520256.0,60.115,0.34,0.2356,0.339,Financial Services,Asset Management,,2026-08-01
ANANTRAJ,39.525314,21.391872,3.8824508,34.273,8.948206,0.11175,0.06267,0.22178,0.23276,0.29825002,11.703,9.755,6.36,0.196,0.22,0.251,224743145472.0,222842486784.0,160.852,0.16,0.0462,0.369,Real Estate,Real Estate - Development,,2026-08-01
ANGELONE,26.890795,16.738031,4.4360905,,5.4586954,,,0.20698,0.24655001,0.84823,129.314,,,0.23,1.0,1.022,272182984704.0,347416526848.0,67.165,1.69,0.3655,0.095,Financial Services,Capital Markets,,2026-08-01
ANTHEM,79.96048,52.99995,14.939537,55.242,22.643953,,,0.28691998,0.28832,0.61659,1.772,,,-0.226,-0.128,-0.117,454538854400.0,445693132800.0,54.165,0.25,0.1976,,Healthcare,Biotechnology,,2026-08-01
ANURAS,78.12419,36.93578,4.1204967,31.505,5.813089,0.05763,0.036229998,0.07192,0.14881,0.44059,41.317,1.425,0.526,0.275,-0.076,-0.043,137505996800.0,165352505344.0,293.12,0.12,0.048699997,0.118,Basic Materials,Specialty Chemicals,,2026-08-01
APARINDS,48.78115,38.15349,10.686417,26.468,2.3639984,,,0.04844,0.108009994,0.21587999,17.716,,,0.291,0.774,0.778,576556040192.0,578142142464.0,1342.639,0.38,0.17379999,0.023,Industrials,Electrical Equipment & Parts,,2026-08-01
APOLLOHOSP,66.43673,41.79104,13.58212,35.979,5.1048584,0.21503,0.08439,0.07696,0.11908,0.36279,85.146,1.065,0.896,0.181,0.356,0.359,1287879131136.0,1356139200512.0,659.47,0.22,0.1481,0.179,Healthcare,Medical Care Facilities,2026-08-12,2026-08-01
APOLLOTYRE,19.757729,13.235486,1.6203257,8.022,0.951296,0.08719,0.05748,0.0482,0.09162,0.43436,21.987,1.323,0.554,0.142,2.426,2.418,270839676928.0,296540766208.0,264.237,2.6,0.39259997,0.142,Consumer Cyclical,Auto Parts,2026-05-14,2026-08-01
APTUS,13.279106,10.059173,2.5848334,,8.527818,0.20113,0.07764,0.61474,0.78528,0.99811995,156.2,5.964,5.931,0.217,0.259,0.261,130807070720.0,202532388864.0,101.051,1.8,0.23889999,0.694,Financial Services,Mortgage Finance,,2026-08-01
ASAHIINDIA,63.426193,37.782326,5.679381,26.441,4.4781475,0.104940005,0.05436,0.06908,0.15651,0.54873,55.868,1.428,0.462,0.148,0.369,0.434,223456428032.0,242865274880.0,154.339,0.23,0.1447,0.294,Consumer Cyclical,Auto Parts,,2026-08-01
ASHOKLEY,28.070944,20.46186,6.301619,12.372,,0.21639,0.07525,0.06158,0.19485001,0.39931,344.737,1.321,0.626,0.174,0.245,0.142,,1488461758464.0,26.371,2.11,0.5288,0.403,Industrials,Farm & Heavy Construction Machinery,,2026-08-01
ASIANPAINT,55.26655,45.73601,12.330402,37.674,7.0822825,,,0.12813,0.17687,0.43533,17.847,,,0.179,0.399,0.4,2633683435520.0,2594910765056.0,222.807,1.0,0.5534,0.304,Basic Materials,Specialty Chemicals,2026-07-29,2026-08-01
